source_id,title,organization,source_type,url,publication_date,accessed_date,last_verified,language,geographic_scope,crop,pest_id,pest_name,authority_level,verified_topics,evidence_notes,limitations,notes
SRC_IRRI_STEM_BORER_001,Stem borer,International Rice Research Institute,IRRI Rice Knowledge Bank,https://www.knowledgebank.irri.org/training/fact-sheets/pest-management/insects/item/stem-borer,,2026-09-19,2026-09-19,English,Rice production / Asia,Rice,yellow_stem_borer,Yellow stem borer,Tier 2,"identification,symptoms,monitoring,cultural_control,biological_control,mechanical_control,integrated_pest_management","IRRI source covering stem borer identification, damage symptoms, monitoring and integrated management.",,
SRC_IMD_YELLOW_STEM_BORER_WEATHER_001,Forewarning of stem-borer attack on paddy - A feasolatory study at Pattambi,India Meteorological Department,Peer-reviewed publication,https://mausamjournal.imd.gov.in/index.php/MAUSAM/article/view/2641,,2026-09-19,2026-09-19,English,"Pattambi, Kerala",Rice,yellow_stem_borer,Yellow stem borer,Tier 3,favorable_conditions,Reports associations between weather variables and stem-borer attack at Pattambi.,Study-specific environmental associations; not a universal threshold.,
SRC_ICAR_YELLOW_STEM_BORER_CHEMICAL_001,ICAR Kharif Agro-Advisories for Farmers 2025,Indian Council of Agricultural Research,Government agricultural advisory,https://icar.gov.in/sites/default/files/2025-10/ICAR-En-Kharif-Agro-Advisories-for-Farmers-2025.pdf,2025.0,2026-09-19,2026-09-19,English,India,Rice,yellow_stem_borer,Yellow stem borer,Tier 1,chemical_control,Advisory includes Fipronil 5% SC @ 1000 ml/ha for stem-borer management.,Source-specific recommendation; verify current product label and local registration.,
SRC_IRRI_GALL_MIDGE_001,Control of rice insect pests,International Rice Research Institute,IRRI agricultural resource,https://www.knowledgebank.irri.org/ericeproduction/PDF_%26_Docs/Control_of_rice_insect_pests.pdf,,2026-09-19,2026-09-19,English,Rice production / Asia,Rice,gall_midge,Gall midge,Tier 2,"cultural_control,integrated_pest_management",IRRI rice insect pest management resource.,,
SRC_TNAU_GALL_MIDGE_001,Pest of Paddy — Gall midge,Tamil Nadu Agricultural University,State Agricultural University resource,https://www.agritech.tnau.ac.in/crop_protection/rice/crop_prot_crop_insectpest%20_cereals_paddy_m2.html,,2026-09-19,2026-09-19,English,India,Rice,gall_midge,Gall midge,Tier 2,"identification,symptoms,monitoring,biological_control,mechanical_control","TNAU source covering gall-midge identification, symptoms and management.",,
SRC_ICAR_NBAIR_GALL_MIDGE_001,BIPM in Rice — Gall Midge,ICAR-National Bureau of Agricultural Insect Resources,ICAR resource,https://databases.nbair.res.in/rice/pest_description.php?user_id=5,,2026-09-19,2026-09-19,English,India,Rice,gall_midge,Gall midge,Tier 1,"symptoms,monitoring,cultural_control,mechanical_control",ICAR-NBAIR biological/integrated pest management resource.,,
SRC_GALL_MIDGE_ENVIRONMENT_001,Orseolia oryzae — environmental and biological information,ScienceDirect Topics,Scientific reference,https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/orseolia-oryzae,,2026-09-19,2026-09-19,English,General,Rice,gall_midge,Gall midge,Tier 3,"favorable_conditions,biological_control,monitoring,mechanical_control,chemical_control",Environmental information includes approximately 26–30°C and 82–88% RH associations.,Environmental range is source-specific and should not be treated as a universal threshold.,
SRC_ICAR_GALL_MIDGE_CHEMICAL_001,ICAR Kharif Agro-Advisories for Farmers,Indian Council of Agricultural Research,Government agricultural advisory,https://www.icar.gov.in/sites/default/files/Circulars/ICAR%20En-Kharif%20Agro-Advisories%20for%20Farmers%202025.pdf,2025.0,2026-09-19,2026-09-19,English,India,Rice,gall_midge,Gall midge,Tier 1,chemical_control,Advisory includes Fipronil 5% SC 2 ml/L in nursery for gall-midge management.,Source-specific recommendation; verify current product label and local registration.,
SRC_IRRI_TUNGRO_GLV_001,Tungro,International Rice Research Institute,IRRI Rice Knowledge Bank,https://www.knowledgebank.irri.org/training/fact-sheets/pest-management/diseases/item/tungro,,2026-09-19,2026-09-19,English,Rice production / Asia,Rice,green_leafhopper,Green leafhopper,Tier 2,"identification,symptoms,favorable_conditions,monitoring,cultural_control,integrated_pest_management",IRRI tungro management material describes green leafhopper as vector and discusses associated management.,,
SRC_IRRI_RICE_INSECTS_002,Insects — Green leafhopper,International Rice Research Institute,IRRI Rice Knowledge Bank,https://www.knowledgebank.irri.org/training/fact-sheets/pest-management/insects,,2026-09-19,2026-09-19,English,Rice production / Asia,Rice,green_leafhopper,Green leafhopper,Tier 2,"identification,symptoms",IRRI rice insect reference.,,
